前 20 個異常值文字報告

日期: 2023-08-11,銷售額:3173,高於七日均質2.25
日期: 2022-10-11,銷售額:2036,高於七日均質2.23
日期: 2023-11-11,銷售額:2570,高於七日均質2.22
日期: 2023-04-08,銷售額:1134,高於七日均質2.22
日期: 2022-12-31,銷售額:3433,高於七日均質2.22
日期: 2023-06-11,銷售額:2650,高於七日均質2.22
日期: 2022-06-11,銷售額:2873,高於七日均質2.22
日期: 2022-08-11,銷售額:2056,高於七日均質2.21
日期: 2020-08-11,銷售額:2171,高於七日均質2.21
日期: 2023-05-11,銷售額:2588,高於七日均質2.21
日期: 2021-10-11,銷售額:2660,高於七日均質2.21
日期: 2022-05-11,銷售額:2018,高於七日均質2.2
日期: 2021-08-11,銷售額:2043,高於七日均質2.19
日期: 2023-02-11,銷售額:1438,高於七日均質2.18
日期: 2021-07-11,銷售額:2413,高於七日均質2.18
日期: 2022-06-09,銷售額:812,高於七日均質2.17
日期: 2022-12-11,銷售額:2130,高於七日均質2.17
日期: 2021-03-11,銷售額:1938,高於七日均質2.17
日期: 2020-12-11,銷售額:2282,高於七日均質2.17
日期: 2023-07-11,銷售額:2054,高於七日均質2.16
